disti_item_number,maker_name,maker_knird_id,drink_name,format,size_format_id,drink_cost,drink_price,distributor_id,disti_item_number,disti_upc,min_quantity,regular_case_cost,current_case_cost,,,,,,,,,,
31025,Upright,99,Upright Engelberg Pilsner,50ltr,13, 165.00 , 239.25 ,5,31025,,1,165,165,,,,,,,,,,
31008,Upright,99,Upright Five,50ltr,13, 170.00 , 246.50 ,5,31008,,1,170,170,,,,,,,,,,
31003,Upright,99,Upright Four,50ltr,13, 170.00 , 246.50 ,5,31003,,1,170,170,,,,,,,,,,
38115,Upright,99,Upright Scotish,50ltr,13, 180.00 , 261.00 ,5,38115,,1,180,180,,,,,,,,,,
31013,Upright,99,Upright Seven,50ltr,13, 170.00 , 246.50 ,5,31013,,1,170,170,,,,,,,,,,
31015,Upright,99,Upright Six,50ltr,13, 145.00 , 210.25 ,5,31015,,1,145,145,,,,,,,,,,
76135,Apple Outlaw,115,Hoppin Hold Up,22oz bottles,5, 5.59 , 8.11 ,5,76135,0-94393-44381-0,12,67.12,50,,,,,,,,,,
76141,Apple Outlaw,115,Rabid Dry,22oz bottles,5, 4.89 , 7.10 ,5,76141,,12,58.72,58.72,,,,,,,,,,
76118,Apple Outlaw,115,Blackberry Bounty,22oz bottles,5, 5.59 , 8.11 ,5,76118,0-94393-44380-3,12,67.12,67.12,,,,,,,,,,
76124,Apple Outlaw,115,Cranberry Jewel,22oz bottles,5, 5.59 , 8.11 ,5,76124,0-94393-44377-3,12,67.12,67.12,,,,,,,,,,
76130,Apple Outlaw,115,Ginger Bite,22oz bottles,5, 5.59 , 8.11 ,5,76130,0-94393-44371-1,12,67.08,67.08,,,,,,,,,,
76139,Apple Outlaw,115,Original,22oz bottles,5, 4.89 , 7.10 ,5,76139,0-94393-44383-4,12,58.72,58.72,,,,,,,,,,
14002,Apple Outlaw,115,Original,1/6bbl,6, 90.00 , 130.50 ,5,14002,,1,90,90,,,,,,,,,,
14010,Apple Outlaw,115,Ginger Bite,1/6bbl,6, 93.00 , 134.85 ,5,14010,,1,93,93,,,,,,,,,,
14026,Apple Outlaw,115,Cranberry Jewel,1/6bbl,6, 93.00 , 134.85 ,5,14026,,1,93,93,,,,,,,,,,
14006,Apple Outlaw,115,Rabid Dry,1/6bbl,6, 90.00 , 130.50 ,5,14006,,1,90,90,,,,,,,,,,
14003,Apple Outlaw,115,Original,1/2bbl,9, 195.00 , 282.75 ,5,14003,,1,195,195,,,,,,,,,,
14007,Apple Outlaw,115,Rabid Dry,1/2bbl,9, 195.00 , 282.75 ,5,14007,,1,195,195,,,,,,,,,,
14016,Apple Outlaw,115,Hoppin Hold Up,1/2bbl,9, 199.00 , 288.55 ,5,14016,,1,199,199,,,,,,,,,,
14011,Apple Outlaw,115,Ginger Bite,1/2bbl,9, 199.00 , 288.55 ,5,14011,,1,199,199,,,,,,,,,,
76133,Apple Outlaw,115,Heritage Barrel Aged,750ml,12, 11.19 , 16.23 ,5,76133,0-94393-44392-6,12,134.32,134.32,,,,,,,,,,
76129,Apple Outlaw,115,Creekside Barrel Aged,750ml,12, 9.09 , 13.19 ,5,76129,9-94393-44385-8,12,109.12,109.12,,,,,,,,,,
76137,Apple Outlaw,115,MacIntosh Barrel Aged,750ml,12, 11.19 , 16.23 ,5,76137,0-94393-44382-7,12,134.32,134.32,,,,,,,,,,
11115,Engine House,117,Amitie,375ml,2, 6.29 , 9.13 ,5,11115,8-67540-00024-8,12,75.52,75.52,,,,,,,,,,
20000,Engine House,117,Funky Farmer Ralph Saison,375ml,2, 6.29 , 9.13 ,5,20000,7-07408-00101-0,12,75.52,75.52,,,,,,,,,,
20008,Engine House,117,Le Pelerin,375ml,2, 6.29 , 9.13 ,5,20008,7-07408-00107-2,12,75.52,75.52,,,,,,,,,,
20028,Engine House,117,Meraki #1,375ml,2, 6.99 , 10.14 ,5,20028,7-07408-00103-4,12,83.92,83.92,,,,,,,,,,
20002,Engine House,117,Saaz,375ml,2, 6.29 , 9.13 ,5,20002,7-07408-00001-3,12,75.52,75.52,,,,,,,,,,
20016,Engine House,117,Vive La France,375ml,2, 7.69 , 11.16 ,5,20016,7-07408-00009-9,12,92.32,92.32,,,,,,,,,,
90252,Engine House,117,Spectral Vision Pale,1/6bbl,6, 75.00 , 108.75 ,5,90252,,1,75,75,,,,,,,,,,
90082,Engine House,117,Belle Petite,1/6bbl,6, 85.00 , 123.25 ,5,90082,,1,85,85,,,,,,,,,,
90212,Engine House,117,Dear God DIPA,1/6bbl,6, 75.00 , 108.75 ,5,90212,,1,75,75,,,,,,,,,,
90254,Engine House,117,Ekuanot IPA,1/6bbl,6, 85.00 , 123.25 ,5,90254,,1,85,85,,,,,,,,,,
90203,Engine House,117,Enginie House BA Saaz Farmhouse,1/6bbl,6, 90.00 , 130.50 ,5,90203,,1,90,90,,,,,,,,,,
90079,Engine House,117,Framuesa Moka,1/6bbl,6, 170.00 , 246.50 ,5,90079,,1,170,170,,,,,,,,,,
90000,Engine House,117,Nameless DIPA,1/6bbl,6, 75.00 , 108.75 ,5,90000,,1,75,75,,,,,,,,,,
90078,Engine House,117,Nefelibata Sour Ale,1/6bbl,6, 165.00 , 239.25 ,5,90078,,1,165,165,,,,,,,,,,
90258,Engine House,117,Pogo Stick Azacca,1/6bbl,6, 85.00 , 123.25 ,5,90258,,1,85,85,,,,,,,,,,
90066,Engine House,117,Pogo Stick IPA Citra,1/6bbl,6, 85.00 , 123.25 ,5,90066,,1,85,85,,,,,,,,,,
90220,Engine House,117,Pogo Stick IPA Mosaic,1/6bbl,6, 85.00 , 123.25 ,5,90220,,1,85,85,,,,,,,,,,
90220,Engine House,117,Pogo Stick Mosaic IPA,1/6bbl,6, 85.00 , 123.25 ,5,90220,,1,85,85,,,,,,,,,,
90236,Engine House,117,Puppies vs Kittens IPA,1/6bbl,6, 85.00 , 123.25 ,5,90236,,1,85,85,,,,,,,,,,
90256,Engine House,117,Raccoons vs Opossums IPA,1/6bbl,6, 85.00 , 123.25 ,5,90256,,1,85,85,,,,,,,,,,
90200,Engine House,117,Redamancy Saison,1/6bbl,6, 90.00 , 130.50 ,5,90200,,1,90,90,,,,,,,,,,
90204,Engine House,117,Tardiff Farmhouse,1/6bbl,6, 90.00 , 130.50 ,5,90204,,1,90,90,,,,,,,,,,
90206,Engine House,117,Tod of the Rings,1/6bbl,6, 75.00 , 108.75 ,5,90206,,1,75,75,,,,,,,,,,
90213,Engine House,117,Dear God DIPA,1/2bbl,9, 165.00 , 239.25 ,5,90213,,1,165,165,,,,,,,,,,
90128,Engine House,117,Doin' It Again DIPA,1/2bbl,9, 175.00 , 253.75 ,5,90128,,1,175,175,,,,,,,,,,
90101,Engine House,117,Don Of Time,1/2bbl,9, 165.00 , 239.25 ,5,90101,,1,165,165,,,,,,,,,,
90122,Engine House,117,Inevitable IPA,1/2bbl,9, 165.00 , 239.25 ,5,90122,,1,165,165,,,,,,,,,,
90133,Engine House,117,Michelle the Gamer IPA,1/2bbl,9, 165.00 , 239.25 ,5,90133,,1,165,165,,,,,,,,,,
90001,Engine House,117,Nameless DIPA,1/2bbl,9, 165.00 , 239.25 ,5,90001,,1,165,165,,,,,,,,,,
90137,Engine House,117,Pales in Comparison,1/2bbl,9, 165.00 , 239.25 ,5,90137,,1,165,165,,,,,,,,,,
90259,Engine House,117,Pogo Stick Azacca,1/2bbl,9, 165.00 , 239.25 ,5,90259,,1,165,165,,,,,,,,,,
90067,Engine House,117,Pogo Stick IPA Citra,1/2bbl,9, 165.00 , 239.25 ,5,90067,,1,165,165,,,,,,,,,,
90221,Engine House,117,Pogo Stick IPA Mosaic,1/2bbl,9, 165.00 , 239.25 ,5,90221,,1,165,165,,,,,,,,,,
90221,Engine House,117,Pogo Stick Mosaic IPA,1/2bbl,9, 165.00 , 239.25 ,5,90221,,1,165,165,,,,,,,,,,
90257,Engine House,117,Raccoons vs Opossums IPA,1/2bbl,9, 165.00 , 239.25 ,5,90257,,1,165,165,,,,,,,,,,
90253,Engine House,117,Spectral Vision Pale,1/2bbl,9, 165.00 , 239.25 ,5,90253,,1,165,165,,,,,,,,,,
90207,Engine House,117,Tod of the Rings,1/2bbl,9, 165.00 , 239.25 ,5,90207,,1,165,165,,,,,,,,,,
90068,Engine House,117,Tod The Bod ISA,1/2bbl,9, 165.00 , 239.25 ,5,90068,,1,165,165,,,,,,,,,,
90069,Engine House,117,Tod The Lover IPA,1/2bbl,9, 165.00 , 239.25 ,5,90069,,1,165,165,,,,,,,,,,
20125,Engine House,117,Redamancy Saison,750ml,12, 7.69 , 11.16 ,5,20125,7-07408-00111-9,12,92.32,92.32,,,,,,,,,,
19506,De Garde,152,Petit Desay,750ml,12, 6.99 , 10.14 ,5,19506,7-38435-17937-3,12,83.92,83.92,,,,,,,,,,
19508,De Garde,152,Bu Weisse,750ml,12, 3.49 , 5.07 ,5,19508,7-38435-17938-0,12,41.92,41.92,,,,,,,,,,
19512,De Garde,152,Saison Premiere,750ml,12, 6.29 , 9.13 ,5,19512,7-38435-17934-2,12,75.52,75.52,,,,,,,,,,
33010,Bainbridge,154,Barrel Aged Anniversary,22oz bottles,5, 9.79 , 14.20 ,5,33010,8-55248-00612-9,12,117.52,117.52,,,,,,,,,,
33015,Bainbridge,154,Downrigger IIPA,22oz bottles,5, 5.59 , 8.11 ,5,33015,8-55248-00606-8,12,67.12,67.12,,,,,,,,,,
33020,Bainbridge,154,Eagle Harbor IPA,22oz bottles,5, 3.49 , 5.07 ,5,33020,8-55248-00609-9,12,41.92,41.92,,,,,,,,,,
33025,Bainbridge,154,Kommuter Kolsch,22oz bottles,5, 3.49 , 5.07 ,5,33025,8-55248-00601-3,12,41.92,41.92,,,,,,,,,,
33040,Bainbridge,154,Windfall IPA,22oz bottles,5, 4.19 , 6.08 ,5,33040,,12,50.32,50.32,,,,,,,,,,
94036,Bainbridge,154,Battle Point Stout,1/6bbl,6, 75.00 , 108.75 ,5,94036,,1,75,75,,,,,,,,,,
94099,Bainbridge,154,Windfall Grapefruit IPA,1/6bbl,6, 80.00 , 116.00 ,5,94099,,1,80,80,,,,,,,,,,
94050,Bainbridge,154,Cask Conditioned IPA,1/6bbl,6, 85.00 , 123.25 ,5,94050,,1,85,85,,,,,,,,,,
94000,Bainbridge,154,Arrow Point Amber,1/6bbl,6, 75.00 , 108.75 ,5,94000,,1,75,75,,,,,,,,,,
94002,Bainbridge,154,BainPale Single Hop,1/6bbl,6, 75.00 , 108.75 ,5,94002,,1,75,75,,,,,,,,,,
94062,Bainbridge,154,Belgian Blonde,1/6bbl,6, 75.00 , 108.75 ,5,94062,,1,75,75,,,,,,,,,,
94088,Bainbridge,154,Bonnie Prince Scotch Wee Heavy Cask,1/6bbl,6, 80.00 , 116.00 ,5,94088,,1,80,80,,,,,,,,,,
94006,Bainbridge,154,Eagle Harbor IPA,1/6bbl,6, 80.00 , 116.00 ,5,94006,,1,80,80,,,,,,,,,,
94110,Bainbridge,154,India Pale Kolsch,1/6bbl,6, 80.00 , 116.00 ,5,94110,,1,80,80,,,,,,,,,,
94021,Bainbridge,154,Kommuter Kolsch,1/6bbl,6, 75.00 , 108.75 ,5,94021,,1,75,75,,,,,,,,,,
94130,Bainbridge,154,Old Toe Jam Chocolate Barley Wine,1/6bbl,6, 90.00 , 130.50 ,5,94130,,1,90,90,,,,,,,,,,
94001,Bainbridge,154,Arrow Point Amber,50Ltr,13, 150.00 , 217.50 ,5,94001,,1,150,150,,,,,,,,,,
94022,Bainbridge,154,Kommuter Kolsch,50Ltr,13, 150.00 , 217.50 ,5,94022,,1,150,150,,,,,,,,,,
94100,Bainbridge,154,Windfall Grapefruit IPA,50Ltr,13, 160.00 , 232.00 ,5,94100,,1,160,160,,,,,,,,,,
94131,Bainbridge,154,Old Toe Jam Chocolate Barley Wine,50Ltr,13, 180.00 , 261.00 ,5,94131,,1,180,180,,,,,,,,,,
94003,Bainbridge,154,BainPale Single Hop,50Ltr,13, 150.00 , 217.50 ,5,94003,,1,150,150,,,,,,,,,,
94038,Bainbridge,154,Battle Point Stout,50Ltr,13, 155.00 , 224.75 ,5,94038,,1,155,155,,,,,,,,,,
94063,Bainbridge,154,Belgian Blonde,50Ltr,13, 150.00 , 217.50 ,5,94063,,1,150,150,,,,,,,,,,
94008,Bainbridge,154,Eagle Harbor IPA,50Ltr,13, 160.00 , 232.00 ,5,94008,,1,160,160,,,,,,,,,,
94111,Bainbridge,154,India Pale Kolsch,50Ltr,13, 150.00 , 217.50 ,5,94111,,1,150,150,,,,,,,,,,
18050,Heathen Brewing,156,Feral Mojito Sour Ale,22oz bottles,5, 5.24 , 7.60 ,5,18050,8-10960-02053-2,12,62.91,62.91,,,,,,,,,,
17632,Heathen Brewing,156,BBA Charge Wee Heavy,22oz bottles,5, 13.99 , 20.29 ,5,17632,8-12465-00068-2,12,167.91,167.91,,,,,,,,,,
17650,Heathen Brewing,156,Carnage DIPA,22oz bottles,5, 4.54 , 6.59 ,5,17650,8-12465-00067-5,12,54.52,54.52,,,,,,,,,,
17611,Heathen Brewing,156,Arson Amber,22oz bottles,5, 3.85 , 5.58 ,5,17611,8-12465-00048-4,12,46.17,46.17,,,,,,,,,,
17645,Heathen Brewing,156,Blackberry Hefeweizen,22oz bottles,5, 4.54 , 6.59 ,5,17645,8-12465-00064-4,12,54.52,54.52,,,,,,,,,,
17667,Heathen Brewing,156,Charge Wee Heavy,22oz bottles,5, 6.99 , 10.14 ,5,17667,8-12465-00080-4,12,83.91,83.91,,,,,,,,,,
18051,Heathen Brewing,156,MegaDank IIPA,22oz bottles,5, 6.29 , 9.13 ,5,18051,8-10960-02090-4,12,75.52,75.52,,,,,,,,,,
18052,Heathen Brewing,156,Reindeer Tears Barrel Aged Barely Wine,22oz bottles,5, 9.09 , 13.18 ,5,18052,8-10960-02003-7,12,109.08,109.08,,,,,,,,,,
18060,Heathen Brewing,156,RIP Porter,22oz bottles,5, 3.85 , 5.58 ,5,18060,8-10960-02055-6,12,46.17,46.17,,,,,,,,,,
18065,Heathen Brewing,156,Sinderella Pumpkin Ale,22oz bottles,5, 5.59 , 8.11 ,5,18065,8-10960-02052-5,12,67.12,67.12,,,,,,,,,,
18066,Heathen Brewing,156,Son of Malice DIPA,22oz bottles,5, 4.54 , 6.59 ,5,18066,8-10960-02102-7,12,54.52,54.52,,,,,,,,,,
18067,Heathen Brewing,156,Transcend IPA,22oz bottles,5, 3.85 , 5.58 ,5,18067,8-10960-02040-2,12,46.17,46.17,,,,,,,,,,
18075,Heathen Brewing,156,Transgression IPA,22oz bottles,5, 4.54 , 6.59 ,5,18075,7-10960-02109-6,12,54.52,54.52,,,,,,,,,,
18589,Heathen Brewing,156,B.A. Epitaph,1/6bbl,6, 135.00 , 195.75 ,5,18589,,1,135,135,,,,,,,,,,
18625,Heathen Brewing,156,Heathan Brewing Cold Day in Helles,1/6bbl,6, 90.00 , 130.50 ,5,18625,,1,90,90,,,,,,,,,,
18593,Heathen Brewing,156,Carnage DIPA,1/4bbl,7, 105.00 , 152.25 ,5,18593,,1,105,105,,,,,,,,,,
18654,Heathen Brewing,156,Mango Saison,1/4bbl,7, 95.00 , 137.75 ,5,18654,,1,95,95,,,,,,,,,,
18621,Heathen Brewing,156,Mojito Sour,1/4bbl,7, 130.00 , 188.50 ,5,18621,,1,130,130,,,,,,,,,,
18504,Heathen Brewing,156,Transcend IPA,1/4bbl,7, 95.00 , 137.75 ,5,18504,,1,95,95,,,,,,,,,,
18568,Heathen Brewing,156,BA Epitaph,30ltr,7, 185.00 , 268.25 ,5,18568,,1,185,185,,,,,,,,,,
18502,Heathen Brewing,156,Transcend IPA,1/2bbl,9, 160.00 , 232.00 ,5,18502,,1,160,160,,,,,,,,,,
18594,Heathen Brewing,156,Carnage DIPA,1/2bbl,9, 190.00 , 275.50 ,5,18594,,1,190,190,,,,,,,,,,
18626,Heathen Brewing,156,Cold Day in Helles,1/2bbl,9, 160.00 , 232.00 ,5,18626,,1,160,160,,,,,,,,,,
18618,Heathen Brewing,156,Kevlar IPA,1/2bbl,9, 185.00 , 268.25 ,5,18618,,1,185,185,,,,,,,,,,
21010,Wild Ride,160,Electri-Fly IPA,12oz bottles,2, 1.28 , 1.86 ,5,21010,0-94922-25787-1,24,30.77,30.77,,,,,,,,,,
91010,Wild Ride,160,Nut Crusher Peanut Butter Porter,12oz bottles,2, 1.28 , 1.86 ,5,91010,8-53393-00002-3,24,30.77,30.77,,,,,,,,,,
91004,Wild Ride,160,Nut Crusher Peanut Butter Porter,22oz bottles,5, 3.49 , 5.07 ,5,91004,0-00000-00000-0,12,41.92,41.92,,,,,,,,,,
21000,Wild Ride,160,Electri-Fly IPA,22oz bottles,5, 3.49 , 5.07 ,5,21000,0-39295-00710-4,12,41.92,41.92,,,,,,,,,,
21000,Wild Ride,160,Stand Up & Shout Coffee Vanilla Stout,22oz bottles,5, 3.49 , 5.07 ,5,21000,8-98376-00208-3,12,41.92,41.92,,,,,,,,,,
21001,Wild Ride,160,Whoopty Whoop Hefeweizen,22oz bottles,5, 3.49 , 5.07 ,5,21001,8-98376-00207-6,12,41.92,41.92,,,,,,,,,,
43900,Wild Ride,160,Hidden Trail Blood Orange IPA,22oz bottles,5, 3.49 , 5.07 ,5,43900,9-421902-774003,12,41.92,41.92,,,,,,,,,,
43903,Wild Ride,160,Hopperhead IPA,22oz bottles,5, 3.49 , 5.07 ,5,43903,9-421902-774027,12,41.92,41.92,,,,,,,,,,
91001,Wild Ride,160,Journey to Planet Fresh Hop Pale Ale,22oz bottles,5, 3.49 , 5.07 ,5,91001,8-53393-00003-0,12,41.92,41.92,,,,,,,,,,
91013,Wild Ride,160,Shades Black Ale,22oz bottles,5, 3.49 , 5.07 ,5,91013,8-53393-00004-7,12,41.92,41.92,,,,,,,,,,
20530,Wild Ride,160,3 Sisters American Red,22oz bottles,5, 3.49 , 5.07 ,5,20530,8-66666-00015-6,12,41.92,41.92,,,,,,,,,,
11126,Wild Ride,160,Force Stout,1/6bbl,6, 75.00 , 108.75 ,5,11126,,1,75,75,,,,,,,,,,
11054,Wild Ride,160,Nut Crusher Peanut Butter Porter,1/6bbl,6, 75.00 , 108.75 ,5,11054,,1,75,75,,,,,,,,,,
11018,Wild Ride,160,Whoopty Whoop Hefeweizen,1/6bbl,6, 75.00 , 108.75 ,5,11018,,1,75,75,,,,,,,,,,
11008,Wild Ride,160,3 Sisters American Red,1/6bbl,6, 75.00 , 108.75 ,5,11008,,1,75,75,,,,,,,,,,
11037,Wild Ride,160,Electri-fly IPA,1/6bbl,6, 75.00 , 108.75 ,5,11037,,1,75,75,,,,,,,,,,
11116,Wild Ride,160,Hidden Trail Blood Orange Pale,1/6bbl,6, 75.00 , 108.75 ,5,11116,,1,75,75,,,,,,,,,,
11003,Wild Ride,160,Hopperhead IPA,1/6bbl,6, 75.00 , 108.75 ,5,11003,,1,75,75,,,,,,,,,,
11011,Wild Ride,160,Hoptagious DIPA,1/6bbl,6, 95.00 , 137.75 ,5,11011,,1,95,95,,,,,,,,,,
11033,Wild Ride,160,Stand Up & Shout Coffee Vanilla Stout,1/6bbl,6, 95.00 , 137.75 ,5,11033,,1,95,95,,,,,,,,,,
11121,Wild Ride,160,Tarty to the Party Cranberry Sour,1/6bbl,6, 75.00 , 108.75 ,5,11121,,1,75,75,,,,,,,,,,
11038,Wild Ride,160,Electri-fly IPA,1/2bbl,9, 165.00 , 239.25 ,5,11038,,1,165,165,,,,,,,,,,
11004,Wild Ride,160,Hopperhead IPA,1/2bbl,9, 165.00 , 239.25 ,5,11004,,1,165,165,,,,,,,,,,
11042,Wild Ride,160,Journey to Planet Fresh Hop Pale Ale,1/2bbl,9, 165.00 , 239.25 ,5,11042,,1,165,165,,,,,,,,,,
11055,Wild Ride,160,Nut Crusher Peanut Butter Porter,1/2bbl,9, 165.00 , 239.25 ,5,11055,,1,165,165,,,,,,,,,,
11056,Wild Ride,160,Nut Crusher Peanut Butter Porter NITRO,1/2bbl,9, 165.00 , 239.25 ,5,11056,,1,165,165,,,,,,,,,,
11019,Wild Ride,160,Whoopty Whoop Hefeweizen,1/2bbl,9, 165.00 , 239.25 ,5,11019,,1,165,165,,,,,,,,,,
11009,Wild Ride,160,3 Sisters American Red,1/2bbl,9, 165.00 , 239.25 ,5,11009,,1,165,165,,,,,,,,,,
11117,Wild Ride,160,Hidden Trail Blood Orange Pale,1/2bbl,9, 165.00 , 239.25 ,5,11117,,1,165,165,,,,,,,,,,
11034,Wild Ride,160,Stand Up & Shout Coffee Vanilla Stout,1/2bbl,9, 190.00 , 275.50 ,5,11034,,1,190,190,,,,,,,,,,
32070,Original Sin,173,Pear Cider,12oz bottles,2, 1.52 , 2.20 ,5,32070,7-55916-00541-6,24,36.37,25,,,,,,,,,,
32019,Original Sin,173,Hard Cider,12oz bottles,2, 1.52 , 2.20 ,5,32019,0-00000-00000-0,24,36.37,25,,,,,,,,,,
70053,Boundary Bay,230,Cedar Dust IPA,12oz cans,1, 1.28 , 1.86 ,5,70053,6-87077-56959-5,24,30.77,30.77,,,,,,,,,,
17105,Boundary Bay,230,Scotch Ale,22oz bottles,5, 3.49 , 5.07 ,5,17105,8-58845-00413-0,12,41.92,41.92,,,,,,,,,,
70050,Boundary Bay,230,Cabin Fever Seasonal,22oz bottles,5, 4.19 , 6.08 ,5,70050,6-87077-56958-8,12,50.32,50.32,,,,,,,,,,
70056,Boundary Bay,230,ESB,22oz bottles,5, 3.49 , 5.07 ,5,70056,6-87077-56960-1,12,41.92,41.92,,,,,,,,,,
17101,Boundary Bay,230,IPA,22oz bottles,5, 3.49 , 5.07 ,5,17101,8-58845-00400-0,12,41.92,41.92,,,,,,,,,,
30023,Boundary Bay,230,Bellingham Blonde Ale,1/6bbl,6, 70.00 , 101.50 ,5,30023,,1,70,70,,,,,,,,,,
30007,Boundary Bay,230,Cedar Dust IPA,1/6bbl,6, 75.00 , 108.75 ,5,30007,,1,75,75,,,,,,,,,,
30002,Boundary Bay,230,IPA,1/6bbl,6, 75.00 , 108.75 ,5,30002,,1,75,75,,,,,,,,,,
30018,Boundary Bay,230,Scotch Ale,1/6bbl,6, 70.00 , 101.50 ,5,30018,,1,70,70,,,,,,,,,,
30024,Boundary Bay,230,Bellingham Blonde Ale,1/2bbl,9, 163.00 , 236.35 ,5,30024,,1,163,163,,,,,,,,,,
30028,Boundary Bay,230,Bohemian Pilsner,1/2bbl,9, 165.00 , 239.25 ,5,30028,,1,165,165,,,,,,,,,,
30039,Boundary Bay,230,Cabin Fever Winter Ale,1/2bbl,9, 165.00 , 239.25 ,5,30039,,1,165,165,,,,,,,,,,
30008,Boundary Bay,230,Cedar Dust IPA,1/2bbl,9, 165.00 , 239.25 ,5,30008,,1,165,165,,,,,,,,,,
30066,Boundary Bay,230,Dry Hopped Amber,1/2bbl,9, 163.00 , 236.35 ,5,30066,,1,163,163,,,,,,,,,,
30014,Boundary Bay,230,ESB,1/2bbl,9, 163.00 , 236.35 ,5,30014,,1,163,163,,,,,,,,,,
30082,Boundary Bay,230,Harvest Rye IPA,1/2bbl,9, 165.00 , 239.25 ,5,30082,,1,165,165,,,,,,,,,,
30003,Boundary Bay,230,IPA,1/2bbl,9, 165.00 , 239.25 ,5,30003,,1,165,165,,,,,,,,,,
30072,Boundary Bay,230,Oktoberfest,1/2bbl,9, 165.00 , 239.25 ,5,30072,,1,165,165,,,,,,,,,,
30019,Boundary Bay,230,Scotch Ale,1/2bbl,9, 163.00 , 236.35 ,5,30019,,1,163,163,,,,,,,,,,
36050,Trinity,242,One Ear Naked Saison,12oz bottles,2, 2.36 , 3.42 ,5,36050,7-29001-292133-9,24,56.65,56.65,,,,,,,,,,
17020,Trinity,242,7 Day Sour,375ml,2, 5.59 , 8.11 ,5,17020,8-17611-01048-5,12,67.12,67.12,,,,,,,,,,
17022,Trinity,242,Blow Up Your TV,375ml,2, 3.49 , 5.07 ,5,17022,8-17611-01049-2,12,41.92,41.92,,,,,,,,,,
17000,Trinity,242,365 Day Golden Sour,375ml,2, 9.09 , 13.19 ,5,17000,8-17611-01012-6,12,109.12,109.12,,,,,,,,,,
17001,Trinity,242,3 Flowers Saison Vielle,375ml,2, 3.49 , 5.07 ,5,17001,8-17611-01001-0,12,41.92,41.92,,,,,,,,,,
25048,Trinity,242,Damn It Feels Good To Be A Gangsta,375ml,2, 7.69 , 11.16 ,5,25048,7-32501-103194,12,92.32,92.32,,,,,,,,,,
63060,Trinity,242,Super Juice Solution,375ml,2, 4.89 , 7.10 ,5,63060,8-41460-640297-7,12,58.72,58.72,,,,,,,,,,
25040,Trinity,242,Hopped Toddy Saison de Miel,375ml,2, 10.14 , 14.71 ,5,25040,8-19332-01085-7,12,121.72,121.72,,,,,,,,,,
25042,Trinity,242,Koelorado Golden Sour,375ml,2, 9.09 , 13.19 ,5,25042,8-19332-01086-8,12,109.12,109.12,,,,,,,,,,
25044,Trinity,242,Le Capitaine Golden Saison Regal,375ml,2, 7.69 , 11.16 ,5,25044,8-19332-01084-3,12,92.32,92.32,,,,,,,,,,
25011,Trinity,242,Magic Brett #1 Brett drie,375ml,2, 6.64 , 9.63 ,5,25011,8-52273-00373-4,12,79.72,79.72,,,,,,,,,,
25013,Trinity,242,Magic Brett #2 Brett brux,375ml,2, 6.64 , 9.63 ,5,25013,8-5227-300376-5,12,79.72,79.72,,,,,,,,,,
25021,Trinity,242,Magic Brett #3 Brett bouckaertii,375ml,2, 6.64 , 9.63 ,5,25021,8-52273-00370-3,12,79.72,79.72,,,,,,,,,,
25023,Trinity,242,Magic Brett #Afro,375ml,2, 6.66 , 9.66 ,5,25023,8-52273-00379-6,12,79.92,79.92,,,,,,,,,,
63030,Trinity,242,Passion Swing,375ml,2, 8.39 , 12.17 ,5,63030,8-43701-348701-6,12,100.72,100.72,,,,,,,,,,
63025,Trinity,242,Pappy Legba,375ml,2, 6.99 , 10.14 ,5,63025,8-43701-348700-9,12,83.92,83.92,,,,,,,,,,
25052,Trinity,242,Chilly Water,375ml,2, 6.29 , 9.13 ,5,25052,7-42295-12115-1,12,75.52,75.52,,,,,,,,,,
25054,Trinity,242,Chocolate River,375ml,2, 6.99 , 10.14 ,5,25054,7-42295-72117-1,12,83.92,83.92,,,,,,,,,,
25050,Trinity,242,Emma's Pumpkin Ale,375ml,2, 6.29 , 9.13 ,5,25050,7-32501-103187,12,75.52,75.52,,,,,,,,,,
25046,Trinity,242,Mad Ear,375ml,2, 6.29 , 9.13 ,5,25046,8-19332-01087-4,12,75.52,75.52,,,,,,,,,,
25026,Trinity,242,Menacing Kumquat,375ml,2, 4.89 , 7.10 ,5,25026,8-52273-00362-8,12,58.72,58.72,,,,,,,,,,
25028,Trinity,242,Mr. Saison,375ml,2, 5.59 , 8.11 ,5,25028,8-52273-00359-8,12,67.12,67.12,,,,,,,,,,
25030,Trinity,242,Next Big Thing,375ml,2, 6.99 , 10.14 ,5,25030,8-52273-00365-9,12,83.92,83.92,,,,,,,,,,
25032,Trinity,242,Oh! Face,375ml,2, 6.99 , 10.14 ,5,25032,8-52273-00368-0,12,83.92,83.92,,,,,,,,,,
63040,Trinity,242,Old Growth Flemish Brown,375ml,2, 9.44 , 13.69 ,5,63040,7-29001-292131-5,12,113.32,113.32,,,,,,,,,,
63075,Trinity,242,Red Swingline,375ml,2, 6.99 , 10.14 ,5,63075,8-43701-230114-6,12,83.92,83.92,,,,,,,,,,
63065,Trinity,242,Saison Man,375ml,2, 5.59 , 8.11 ,5,63065,8-41460-667620-0,12,67.12,67.12,,,,,,,,,,
14001,Trinity,242,Thaison,375ml,2, 5.59 , 8.11 ,5,14001,8-65881-00000-2,12,67.12,67.12,,,,,,,,,,
